station_index,poi_name,latitude,longitude,address,distance,category,popularity
0,Starbucks,40.795045,-73.965638,805 Columbus Ave,100,Coffee Shop,
0,Whole Foods,40.794254,-73.966918,808 Columbus Ave,204,Grocery Store,
0,Birch Coffee,40.79332,-73.967538,750 Columbus Ave,310,"Coffee Shop, Restaurant",
0,Central Park - Gate Of All Saints,40.791511,-73.964539,"Central Park W , New York, NY, United States",391,"Monument, Nature Preserve, Plaza, Sporting Goods Retail",
0,Bob's Your Uncle,40.798842,-73.962943,929 Columbus Ave,447,Dive Bar,
0,Central Park - Glenspan Arch,40.79466934949267,-73.95923271775246,"Central Park, North End, near the Ravine",444,"Bridge, Scenic Lookout, Sporting Goods Retail",
0,The Great Hill,40.797116,-73.958854,Central Park W,531,Landmarks and Outdoors,
0,Buceo 95,40.793603,-73.97109,201 W 95th St,581,"Wine Bar, Tapas Restaurant",
0,Blue Marble Ice Cream,40.795335,-73.970937,2578 Broadway,549,"Ice Cream Parlor, Restaurant",
0,Tarr-Coyne Wild West Playground,40.789957,-73.96614,Central Park,584,Playground,
0,Westside Market NYC,40.795916,-73.971399,2589 Broadway,562,Grocery Store,
0,Makana Hawaiian BBQ & Poke,40.800399,-73.965277,161 W 106th St,591,"BBQ Joint, Hawaiian Restaurant",
0,Pio Pio 604,40.792946,-73.971414,702 Amsterdam Ave,612,"Mexican Restaurant, Peruvian Restaurant, Spanish Restaurant",
0,The Halal Guys,40.793603,-73.97109,720 Amsterdam Ave,562,"Halal Restaurant, North Indian Restaurant",
0,Trader Joe's,40.790625,-73.969401,670 Columbus Ave,626,Grocery Store,
0,Bánh,40.800819,-73.96573,942 Amsterdam Ave,654,"Cafe, Coffee, and Tea House, Sandwich Spot, Vietnamese Restaurant",
0,Park West Cafe & Deli,40.799317,-73.959332,477 Central Park W,658,"Tea Room, Deli, Mediterranean Restaurant",
0,Rancho Tequileria,40.793435,-73.971302,718 Amsterdam Ave,594,Mexican Restaurant,
0,Silver Moon Bakery,40.800496,-73.967685,2740 Broadway,676,"Bakery, Restaurant",
0,Mama's Too,40.800822,-73.967611,2750 Broadway,694,"Pizzeria, Italian Restaurant",
0,Central Park Tennis Center,40.789477,-73.961881,96 Central Park W,669,Tennis Court,
0,The Ravine,40.795573,-73.955996,,715,Scenic Lookout,
0,North Meadow Recreation Center,40.791215,-73.959456,"97TH St, New York , 10029, United States",585,Recreation Center,
0,Symphony Space,40.793934,-73.972808,2537 Broadway,705,Movie Theater,
0,Krispy Kreme,40.794981,-73.972018,2563 Broadway,626,Bagel Shop,
0,Manhattan Diner,40.793627,-73.972184,2532 Broadway,673,"Diner, American Restaurant, Fast Food Restaurant",
0,Smoke Jazz & Supper Club,40.801129,-73.968235,2751 Broadway,732,"Music Venue, Dining and Drinking, Jazz and Blues Venue",
0,Super Nice Coffee and Bakery,40.801389,-73.964616,196 W 108th St,729,"Bakery, Coffee Shop",
0,Kouzan,40.792244,-73.971431,685 Amsterdam Ave,677,Sushi Restaurant,
0,Peter Jay Sharp Theatre,40.793934,-73.972808,2537 Broadway,684,Monument,
0,Pinkberry,40.792808,-73.972546,2508 Broadway,736,"Dessert Shop, Frozen Yogurt Shop, Snack Place",
0,Filicori Zecchini 95 Broadway,40.794267,-73.972471,2541 Broadway,670,"Bar, Café, Coffee Shop",
0,Frederick Douglass Circle Gate,40.800483,-73.958109,"8th Ave , New York, NY, United States",803,Landmarks and Outdoors,
0,Morningside Park Farmers Market,40.801304,-73.959715,250 W 110th St,821,Farmers Market,
0,North Woods,40.797912,-73.955343,,836,Park,
0,Firemen's Memorial,40.798357,-73.97298,Riverside Dr,837,Monument,
0,Absolute Bagels,40.80245,-73.967324,2788 Broadway,868,"Bagel Shop, Restaurant, Bakery",
0,Safari Playground,40.788435,-73.966518,Central Park W,737,Playground,
0,Roti Roll - Bombay Frankie,40.802637,-73.964358,994 Amsterdam Ave,831,Indian Restaurant,
0,West Side Community Garden,40.789256,-73.972145,142 W 89th St,905,Garden,
0,The Hamilton,40.802745,-73.964362,998 Amsterdam Ave,859,"Cocktail Bar, Whisky Bar, American Restaurant",
0,Elis Wine Bar,40.802855,-73.964279,1012 Amsterdam Ave,869,"Wine Bar, Mediterranean Restaurant",
0,Sweetgreen,40.79148,-73.973718,2460 Broadway,885,"Salad Restaurant, Dining and Drinking",
0,Fumo,40.802917,-73.967998,2791 Broadway,925,"Bar, Pizzeria, Italian Restaurant",
0,Carmine's,40.791095,-73.974009,2450 Broadway,908,Italian Restaurant,
0,Chick Chick,40.790241,-73.973626,618 Amsterdam Ave,929,Fried Chicken Joint,
0,Atlas Kitchen,40.803324,-73.966921,258 W 109th St,937,Chinese Restaurant,
0,Center Fountain,40.793761,-73.953085,5TH Ave,990,Landmarks and Outdoors,
0,The Hungarian Pastry Shop,40.803519,-73.963692,1030 Amsterdam Ave,955,"Bakery, Eastern European Restaurant, Hungarian Restaurant",
0,Insomnia Cookies,40.803404,-73.96395,1028 Amsterdam Ave,937,"Bakery, Dessert Shop",
1,The Living Room,40.765265,-73.97912,153 W 57th St,166,"Arts and Entertainment, Lounge, American Restaurant",
1,Marea,40.76737,-73.981125,240 Central Park S,189,"Italian Restaurant, New American Restaurant, Seafood Restaurant",
1,Carnegie Hall,40.76497,-73.97972,57th Street and Seventh,193,"Concert Hall, Music Venue, Theater",
1,Stern Auditorium / Perelman Stage,40.765081,-73.979943,881 7th Ave,206,Music Venue,
1,The Rocks,40.768581,-73.978245,Central Park Dr,231,Other Great Outdoors,
1,Pret A Manger,40.765602,-73.976643,100 Central Park S,239,Fast Food Restaurant,
1,Souvlaki GR,40.764585,-73.980317,162 W 56th St,256,"Fast Food Restaurant, Souvlaki Shop, Mediterranean Restaurant",
1,Heckscher Playground,40.768712,-73.977376,"Central Park Driveway, Manhattan, New York State",262,Playground,
1,SUGARFISH by sushi nozawa,40.765041,-73.981427,210 W 56th St,273,Sushi Restaurant,
1,Whole Foods,40.768458,-73.982784,10 Columbus Cir,264,Grocery Store,
1,Indian Accent,40.764307,-73.978646,123 W 56th St,291,North Indian Restaurant,
1,Quality Meats,40.76507,-73.97636,57 W 58th St,312,"American Restaurant, Steakhouse",
1,Quality Italian,40.764464,-73.976817,57 W 57th St,311,"Italian Restaurant, Steakhouse",
1,Hallett Nature Sanctuary,40.768251,-73.974474,6TH Ave,340,Landmarks and Outdoors,
1,Sarabeth's,40.765144,-73.97562,40 Central Park S,346,New American Restaurant,
1,Estiatorio Milos,40.76354,-73.979053,125 W 55th St,372,"Greek Restaurant, Mediterranean Restaurant, Seafood Restaurant",
1,Quality Bistro,40.763056,-73.97899,120 W 55th St,393,"American Restaurant, French Restaurant, Steakhouse",
1,Nobu Fifty Seven,40.763726,-73.976176,40 W 57th St,401,Sushi Restaurant,
1,NYRR RUNCenter,40.767024,-73.983951,320 W 57th St,410,Community Center,
1,Wollman Rink,40.767441,-73.970466,830 5th Ave,415,Skating Rink,
1,Feinstein's/54 Below,40.764386,-73.983717,254 W 54th St,448,"Performing Arts Venue, Dining and Drinking",
1,Chick-Fil-A,40.76503,-73.98383,918 8th Ave,444,"American Restaurant, Fast Food Restaurant",
1,Broadway Theatre,40.763159,-73.983188,1681 Broadway,495,"Concert Hall, Music Venue, Theater",
1,Westerly Natural Market,40.765177,-73.984403,911 8th Ave,490,"Organic Grocery, Health Food Store",
1,The Big Rock,40.766393,-73.973309,,490,Scenic Lookout,
1,Breads Bakery,40.77113,-73.981796,1890 Broadway,529,"Bakery, Coffee Shop, Restaurant",
1,Grand Army Plaza,40.764393,-73.97345,768 5th Ave,545,Park,
1,Central Park - Wien Walk,40.76599,-73.972245,5TH Ave,573,Park,
1,Gallagher's Steak House,40.762816,-73.983874,228 W 52nd St,580,"American Restaurant, Steakhouse",
1,Museum of Modern Art (MoMA),40.761539,-73.977227,11 W 53rd St,591,Art Museum,
1,BG Restaurant,40.763466,-73.973807,754 5th Ave,605,American Restaurant,
1,Ground Central,40.763766,-73.984698,888 8th Ave,579,"Bakery, Coffee Shop, Restaurant",
1,Bergdorf Goodman,40.763367,-73.973454,754 5th Ave,607,Department Store,
1,The Smith,40.771506,-73.981855,1900 Broadway,594,New American Restaurant,
1,Tiffany & Co.,40.762709,-73.973865,727 5th Ave,623,Jewelry Store,
1,Rosa Mexicano,40.771202,-73.98311,61 Columbus Ave,609,Mexican Restaurant,
1,Kashkaval Garden,40.7668,-73.986258,852 9th Ave,623,"Fondue Restaurant, Mediterranean Restaurant, Tapas Restaurant",
1,Haswell Greens,40.762913,-73.984315,240 W 52nd St,603,"Cocktail Bar, Piano Bar, Gastropub",
1,Fifth Avenue,40.764586,-73.972278,5TH Ave,628,Electronics Store,
