latitude,longitude,Distance_y,Rating_y,Review Count,Categories_y,Price_y
40.795045,-73.965638,473.3664249,4.5,355,"Sardinian, Pasta Shops",2
40.794254,-73.966918,472.347833,4.5,738,Vietnamese,1
40.79332,-73.967538,1313.002598,4,5491,"Comfort Food, Southern, American",4
40.791511,-73.964539,537.3902148,4.5,236,"Bars, Mexican, Tapas/Small Plates",4
40.798842,-73.962943,421.7429678,5,28,"Breakfast & Brunch, New American, Wine Bars",2
40.79466934949267,-73.95923272,535,1,1569,Dive Bar,2
40.797116,-73.958854,1190,4,4354,"Bridge, Scenic Lookout, Sporting Goods Retail",2
40.793603,-73.97109,1339,1,2303,Landmarks and Outdoors,2
40.795335,-73.970937,282,2,5429,"Wine Bar, Tapas Restaurant",1
40.789957,-73.96614,232,1,6192,"Ice Cream Parlor, Restaurant",3
40.795916,-73.971399,1174,4,6613,Playground,4
40.800399,-73.965277,350,3,3564,Grocery Store,4
40.792946,-73.971414,1050,5,1120,"BBQ Joint, Hawaiian Restaurant",5
40.793603,-73.97109,1012,4,6319,"Mexican Restaurant, Peruvian Restaurant, Spanish Restaurant",3
40.790625,-73.969401,518,1,4518,"Halal Restaurant, North Indian Restaurant",1
40.800819,-73.96573,435,2,2583,Grocery Store,1
40.799317,-73.959332,1050,1,1741,"Cafe, Coffee, and Tea House, Sandwich Spot, Vietnamese Restaurant",4
40.793435,-73.971302,302,2,3968,"Tea Room, Deli, Mediterranean Restaurant",2
40.800496,-73.967685,1402,4,6026,Mexican Restaurant,4
40.800822,-73.967611,1020,5,2424,"Bakery, Restaurant",4
40.789477,-73.961881,432,2,3796,"Pizzeria, Italian Restaurant",4
40.795573,-73.955996,1122,2,2826,Tennis Court,3
40.791215,-73.959456,212,1,1728,Scenic Lookout,2
40.793934,-73.972808,193,2,6349,Recreation Center,5
40.794981,-73.972018,890,5,5811,Movie Theater,5
40.793627,-73.972184,1013,1,5179,Bagel Shop,4
40.801129,-73.968235,904,1,4099,"Diner, American Restaurant, Fast Food Restaurant",4
40.801389,-73.964616,854,5,6920,"Music Venue, Dining and Drinking, Jazz and Blues Venue",5
40.792244,-73.971431,392,4,1965,"Bakery, Coffee Shop",1
40.793934,-73.972808,1114,3,6938,Sushi Restaurant,5
40.792808,-73.972546,1319,5,4444,Monument,3
40.794267,-73.972471,434,4,2303,"Dessert Shop, Frozen Yogurt Shop, Snack Place",5
40.800483,-73.958109,557,2,2170,"Bar, Café, Coffee Shop",5
40.801304,-73.959715,671,5,3152,Landmarks and Outdoors,5
40.797912,-73.955343,39,3,91,Farmers Market,1
40.798357,-73.97298,587,2,6713,Park,4
40.80245,-73.967324,1350,3,432,Monument,4
40.788435,-73.966518,723,1,5710,"Bagel Shop, Restaurant, Bakery",4
40.802637,-73.964358,436,3,755,Playground,3
40.789256,-73.972145,448,4,3928,Indian Restaurant,3
40.802745,-73.964362,194,4,6535,Garden,2
40.802855,-73.964279,1491,4,5666,"Cocktail Bar, Whisky Bar, American Restaurant",2
40.79148,-73.973718,653,3,4944,"Wine Bar, Mediterranean Restaurant",5
40.802917,-73.967998,393,4,6643,"Salad Restaurant, Dining and Drinking",2
40.791095,-73.974009,249,2,2283,"Bar, Pizzeria, Italian Restaurant",5
40.790241,-73.973626,456,1,2341,Italian Restaurant,1
40.803324,-73.966921,1046,4,928,Fried Chicken Joint,4
40.793761,-73.953085,708,4,1681,Chinese Restaurant,2
40.803519,-73.963692,1123,4,4884,Landmarks and Outdoors,3
40.803404,-73.96395,1520,3,5123,"Bakery, Eastern European Restaurant, Hungarian Restaurant",5
40.765265,-73.97912,1534,2,3782,"Bakery, Dessert Shop",2
40.76737,-73.981125,161,1,2193,"Arts and Entertainment, Lounge, American Restaurant",4
40.76497,-73.97972,1261,3,3520,"Italian Restaurant, New American Restaurant, Seafood Restaurant",3
40.765081,-73.979943,784,2,4097,"Concert Hall, Music Venue, Theater",3
40.768581,-73.978245,105,3,1146,Music Venue,3
40.765602,-73.976643,1083,4,1503,Other Great Outdoors,3
40.764585,-73.980317,1182,3,6476,Fast Food Restaurant,4
40.768712,-73.977376,1489,2,2035,"Fast Food Restaurant, Souvlaki Shop, Mediterranean Restaurant",1
40.765041,-73.981427,576,5,6561,Playground,2
40.768458,-73.982784,488,2,4629,Sushi Restaurant,4
40.764307,-73.978646,449,4,2633,Grocery Store,3
40.76507,-73.97636,460,2,5730,North Indian Restaurant,5
40.764464,-73.976817,1389,4,2195,"American Restaurant, Steakhouse",1
40.768251,-73.974474,1525,2,1919,"Italian Restaurant, Steakhouse",3
40.765144,-73.97562,992,4,6466,Landmarks and Outdoors,1
40.76354,-73.979053,327,2,1512,New American Restaurant,2
40.763056,-73.97899,430,2,4440,"Greek Restaurant, Mediterranean Restaurant, Seafood Restaurant",5
40.763726,-73.976176,864,4,6314,"American Restaurant, French Restaurant, Steakhouse",1
40.767024,-73.983951,1168,1,6437,Sushi Restaurant,2
40.767441,-73.970466,38,5,4972,Community Center,5
40.764386,-73.983717,241,4,1477,Skating Rink,4
40.76503,-73.98383,739,4,1991,"Performing Arts Venue, Dining and Drinking",4
40.763159,-73.983188,612,4,2169,"American Restaurant, Fast Food Restaurant",2
40.765177,-73.984403,862,2,6592,"Concert Hall, Music Venue, Theater",4
40.766393,-73.973309,264,5,2332,"Organic Grocery, Health Food Store",4
